lat_center,lon_center,x,y,img_id
-3.90792,-38.65292,0,0,00_00
-3.90792,-38.64866,1,0,01_00
-3.90792,-38.64441,2,0,02_00
-3.90792,-38.64015,3,0,03_00
-3.90792,-38.6359,4,0,04_00
-3.90792,-38.63164,5,0,05_00
-3.90792,-38.62738,6,0,06_00
-3.90792,-38.62313,7,0,07_00
-3.90792,-38.61887,8,0,08_00
-3.90792,-38.61462,9,0,09_00
-3.90792,-38.61036,10,0,10_00
-3.90792,-38.60611,11,0,11_00
-3.90792,-38.60185,12,0,12_00
-3.90792,-38.5976,13,0,13_00
-3.90792,-38.59334,14,0,14_00
-3.90792,-38.58909,15,0,15_00
-3.90792,-38.58483,16,0,16_00
-3.90792,-38.58058,17,0,17_00
-3.90792,-38.57632,18,0,18_00
-3.90792,-38.57207,19,0,19_00
-3.90792,-38.56781,20,0,20_00
-3.90792,-38.56355,21,0,21_00
-3.90792,-38.5593,22,0,22_00
-3.90792,-38.55504,23,0,23_00
-3.90792,-38.55079,24,0,24_00
-3.90792,-38.54653,25,0,25_00
-3.90792,-38.54228,26,0,26_00
-3.90792,-38.53802,27,0,27_00
-3.90792,-38.53377,28,0,28_00
-3.90792,-38.52951,29,0,29_00
-3.90792,-38.52526,30,0,30_00
-3.90792,-38.521,31,0,31_00
-3.90792,-38.51675,32,0,32_00
-3.90792,-38.51249,33,0,33_00
-3.90792,-38.50824,34,0,34_00
-3.90792,-38.50398,35,0,35_00
-3.90792,-38.49973,36,0,36_00
-3.90792,-38.49547,37,0,37_00
-3.90792,-38.49121,38,0,38_00
-3.90792,-38.48696,39,0,39_00
-3.90792,-38.4827,40,0,40_00
-3.90792,-38.47845,41,0,41_00
-3.90792,-38.47419,42,0,42_00
-3.90792,-38.46994,43,0,43_00
-3.90792,-38.46568,44,0,44_00
-3.90792,-38.46143,45,0,45_00
-3.90792,-38.45717,46,0,46_00
-3.90792,-38.45292,47,0,47_00
-3.90366,-38.65292,0,1,00_01
-3.90366,-38.64866,1,1,01_01
-3.90366,-38.64441,2,1,02_01
-3.90366,-38.64015,3,1,03_01
-3.90366,-38.6359,4,1,04_01
-3.90366,-38.63164,5,1,05_01
-3.90366,-38.62738,6,1,06_01
-3.90366,-38.62313,7,1,07_01
-3.90366,-38.61887,8,1,08_01
-3.90366,-38.61462,9,1,09_01
-3.90366,-38.61036,10,1,10_01
-3.90366,-38.60611,11,1,11_01
-3.90366,-38.60185,12,1,12_01
-3.90366,-38.5976,13,1,13_01
-3.90366,-38.59334,14,1,14_01
-3.90366,-38.58909,15,1,15_01
-3.90366,-38.58483,16,1,16_01
-3.90366,-38.58058,17,1,17_01
-3.90366,-38.57632,18,1,18_01
-3.90366,-38.57207,19,1,19_01
-3.90366,-38.56781,20,1,20_01
-3.90366,-38.56355,21,1,21_01
-3.90366,-38.5593,22,1,22_01
-3.90366,-38.55504,23,1,23_01
-3.90366,-38.55079,24,1,24_01
-3.90366,-38.54653,25,1,25_01
-3.90366,-38.54228,26,1,26_01
-3.90366,-38.53802,27,1,27_01
-3.90366,-38.53377,28,1,28_01
-3.90366,-38.52951,29,1,29_01
-3.90366,-38.52526,30,1,30_01
-3.90366,-38.521,31,1,31_01
-3.90366,-38.51675,32,1,32_01
-3.90366,-38.51249,33,1,33_01
-3.90366,-38.50824,34,1,34_01
-3.90366,-38.50398,35,1,35_01
-3.90366,-38.49973,36,1,36_01
-3.90366,-38.49547,37,1,37_01
-3.90366,-38.49121,38,1,38_01
-3.90366,-38.48696,39,1,39_01
-3.90366,-38.4827,40,1,40_01
-3.90366,-38.47845,41,1,41_01
-3.90366,-38.47419,42,1,42_01
-3.90366,-38.46994,43,1,43_01
-3.90366,-38.46568,44,1,44_01
-3.90366,-38.46143,45,1,45_01
